OU_Principal,OU_Service,Affectation_Groupe,Groupe
Communication,NA,NA,GRP_U_Communication
Communication,NA,GRP_U_Communication,GRP_U_Direction_Communication
Communication,Publicite,GRP_U_Communication,GRP_U_Publicite
Communication,Publicite,GRP_U_Publicite,GRP_U_Designer_Graphique
Communication,Publicite,GRP_U_Publicite,GRP_U_Photographe
Communication,Publicite,GRP_U_Publicite,GRP_U_Publicitaire
Communication,Publicite,GRP_U_Publicite,GRP_U_Responsable_Publicite
Communication,Publicite,GRP_U_Publicite,GRP_U_Webmaster
Communication,Relation_Publique_Presse,GRP_U_Communication,GRP_U_Relation_Publique_Presse
Communication,Relation_Publique_Presse,GRP_U_Relation_Publique_Presse,GRP_U_Charge_Communication
Communication,Relation_Publique_Presse,GRP_U_Relation_Publique_Presse,GRP_U_Charge_Presse
Communication,Relation_Publique_Presse,GRP_U_Relation_Publique_Presse,GRP_U_Charge_Droit_Communication
Communication,Relation_Publique_Presse,GRP_U_Relation_Publique_Presse,GRP_U_Responsable_Relation_Media
Direction_Financiere,NA,NA,GRP_U_Direction_Financiere
Direction_Financiere,Finance,GRP_U_Direction_Financiere,GRP_U_Finance
Direction_Financiere,Finance,GRP_U_Finance,GRP_U_DAF
Direction_Financiere,Finance,GRP_U_Finance,GRP_U_Analyste_Financier
Direction_Financiere,Service_Comptabilite,GRP_U_Direction_Financiere,GRP_U_Service_Comptabilite
Direction_Financiere,Service_Comptabilite,GRP_U_Service_Comptabilite,GRP_U_Comptable
Direction_Financiere,Controle_Gestion,GRP_U_Direction_Financiere,GRP_U_Controle_Gestion
Direction_Financiere,Controle_Gestion,GRP_U_Controle_Gestion,GRP_U_Controleur_Gestion
Direction_Generale,NA,NA,GRP_U_Direction_Generale
Direction_Generale,NA,GRP_U_Direction_Generale,GRP_U_Assistant_Direction
Direction_Generale,NA,GRP_U_Direction_Generale,GRP_U_Secretaire
Direction_Generale,NA,GRP_U_Direction_Generale,GRP_U_Directeur_Adjoint
Direction_Generale,NA,GRP_U_Direction_Generale,GRP_U_CEO
Direction_Generale,NA,GRP_U_Direction_Generale,GRP_U_COMEX
Direction_Generale,NA,GRP_U_Direction_Generale,GRP_U_CODIR
Direction_Marketing,NA,NA,GRP_U_Direction_Marketing
Direction_Marketing,Marketing_Digital,GRP_U_Direction_Marketing,GRP_U_Marketing_Digital
Direction_Marketing,Marketing_Digital,GRP_U_Marketing_Digital,GRP_U_Community_Manager
Direction_Marketing,Marketing_Digital,GRP_U_Marketing_Digital,GRP_U_Responsable_Marketing_Digital
Direction_Marketing,Marketing_Digital,GRP_U_Marketing_Digital,GRP_U_Analyste_Web
Direction_Marketing,Marketing_Digital,GRP_U_Marketing_Digital,GRP_U_Content_Manager
Direction_Marketing,Marketing_Operationnel,GRP_U_Direction_Marketing,GRP_U_Marketing_Operationnel
Direction_Marketing,Marketing_Operationnel,GRP_U_Marketing_Operationnel,GRP_U_Charge_Promotion
Direction_Marketing,Marketing_Operationnel,GRP_U_Marketing_Operationnel,GRP_U_Chef_Projet
Direction_Marketing,Marketing_Operationnel,GRP_U_Marketing_Operationnel,GRP_U_Assistant_Marketing
Direction_Marketing,Marketing_Operationnel,GRP_U_Marketing_Operationnel,GRP_U_Coordinateur_Marketing
Direction_Marketing,Marketing_Operationnel,GRP_U_Marketing_Operationnel,GRP_U_Responsable_Marketing_Operationnel
Direction_Marketing,Marketing_Produit,GRP_U_Direction_Marketing,GRP_U_Marketing_Produit
Direction_Marketing,Marketing_Produit,GRP_U_Marketing_Produit,GRP_U_Chef_Produit
Direction_Marketing,Marketing_Produit,GRP_U_Marketing_Produit,GRP_U_Gestionaire_Marque
Direction_Marketing,Marketing_Produit,GRP_U_Marketing_Produit,GRP_U_Responsable_Gamme
Direction_Marketing,Marketing_Strategique,GRP_U_Direction_Marketing,GRP_U_Marketing_Strategique
Direction_Marketing,Marketing_Strategique,GRP_U_Marketing_Strategique,GRP_U_Direction_Marketing_Strategique
Direction_Marketing,Marketing_Strategique,GRP_U_Marketing_Strategique,GRP_U_Analyste_Marketing
Direction_Marketing,Marketing_Strategique,GRP_U_Marketing_Strategique,GRP_U_Chef_Produit_Strategique
Recherche_Developpement,NA,NA,GRP_U_Recherche_Developpement
Recherche_Developpement,Innovation_Strategie,GRP_U_Recherche_Developpement,GRP_U_Innovation_Strategie
Recherche_Developpement,Innovation_Strategie,GRP_U_Innovation_Strategie,GRP_U_Chercheur
Recherche_Developpement,Innovation_Strategie,GRP_U_Innovation_Strategie,GRP_U_Responsable_Recherche
Recherche_Developpement,Laboratoire,GRP_U_Recherche_Developpement,GRP_U_Laboratoire
Recherche_Developpement,Laboratoire,GRP_U_Laboratoire,GRP_U_Laborantin
Recherche_Developpement,Laboratoire,GRP_U_Laboratoire,GRP_U_Responsable_Laboratoire
Ressources_Humaines,NA,NA,GRP_U_Ressources_Humaines
Ressources_Humaines,NA,GRP_U_Ressources_Humaines,GRP_U_Direction_RH
Ressources_Humaines,NA,GRP_U_Ressources_Humaines,GRP_U_Direction_Adjoint_RH
Ressources_Humaines,Formation,GRP_U_Ressources_Humaines,GRP_U_Formation
Ressources_Humaines,Formation,GRP_U_Formation,GRP_U_Formateur
Ressources_Humaines,Gestion_Performances,GRP_U_Ressources_Humaines,GRP_U_Gestion_Performances
Ressources_Humaines,Gestion_Performances,GRP_U_Gestion_Performances,GRP_U_Agent_RH_GP
Ressources_Humaines,Recrutement,GRP_U_Ressources_Humaines,GRP_U_Recrutement
Ressources_Humaines,Recrutement,GRP_U_Agent_RH_REC,GRP_U_Agent_RH_REC
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Ressources_Humaines,GRP_U_Sante_Securite_Travail
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Sante_Securite_Travail,GRP_U_Animateur_securite
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Sante_Securite_Travail,GRP_U_Auditeur
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Sante_Securite_Travail,GRP_U_Technicien_HSE
Services_Generaux,NA,NA,GRP_U_Services_Generaux
Services_Generaux,Logistique,GRP_U_Services_Generaux,GRP_U_Logistique
Services_Generaux,Logistique,GRP_U_Logistique,GRP_U_Agent_logistique
Services_Generaux,Logistique,GRP_U_Logistique,GRP_U_Responsable_Logistique
Services_Generaux,Gestion_Immobiliere,GRP_U_Services_Generaux,GRP_U_Gestion_Immobiliere
Services_Generaux,Gestion_Immobiliere,GRP_U_Gestion_Immobiliere,GRP_U_Gestionnaire_immobilier
Systemes_Information,NA,NA,GRP_U_Systemes_Information
Systemes_Information,NA,GRP_U_Systemes_Information,GRP_U_Direction_Informatique
Systemes_Information,Data,GRP_U_Systemes_Information,GRP_U_Data
Systemes_Information,Data,GRP_U_Data,GRP_U_Data_Scientist
Systemes_Information,Developpement_Logiciel,GRP_U_Systemes_Information,GRP_U_Developpement_Logiciel
Systemes_Information,Developpement_Logiciel,GRP_U_Developpement_Logiciel,GRP_U_Developpeur
Systemes_Information,Systemes_Reseaux,GRP_U_Systemes_Information,GRP_U_Systemes_Reseaux
Systemes_Information,Systemes_Reseaux,GRP_U_Systemes_Reseaux,GRP_U_Administrateur_Systemes_Reseaux
Service_Juridique,NA,NA,GRP_U_Service_Juridique
Service_Juridique,Contrats,GRP_U_Service_Juridique,GRP_U_Contrats
Service_Juridique,Contrats,GRP_U_Contrats,GRP_U_Juriste_CTR
Service_Juridique,Contrats,GRP_U_Contrats,GRP_U_Responsable_Juridique
Service_Juridique,Contentieux,GRP_U_Service_Juridique,GRP_U_Contentieux
Service_Juridique,Contentieux,GRP_U_Contentieux,GRP_U_Juriste_CTX
Ventes_Developpement_Commercial,NA,NA,GRP_U_Ventes_Developpement_Commercial
Ventes_Developpement_Commercial,ADV,GRP_U_Ventes_Developpement_Commercial,GRP_U_ADV
Ventes_Developpement_Commercial,ADV,GRP_U_ADV,GRP_U_Gestionnaire_ADV
Ventes_Developpement_Commercial,ADV,GRP_U_ADV,GRP_U_Responsable_ADV
Ventes_Developpement_Commercial,B2B,GRP_U_Ventes_Developpement_Commercial,GRP_U_B2B
Ventes_Developpement_Commercial,B2B,GRP_U_B2B,GRP_U_Commercial_B2B
Ventes_Developpement_Commercial,B2B,GRP_U_B2B,GRP_U_Responsable_B2B
Ventes_Developpement_Commercial,B2C,GRP_U_Ventes_Developpement_Commercial,GRP_U_B2C
Ventes_Developpement_Commercial,B2C,GRP_U_B2C,GRP_U_Commercial_B2C
Ventes_Developpement_Commercial,B2C,GRP_U_B2C,GRP_U_Responsable_B2C
Ventes_Developpement_Commercial,Developpement_Internationnal,GRP_U_Ventes_Developpement_Commercial,GRP_U_Developpement_Internationnal
Ventes_Developpement_Commercial,Developpement_Internationnal,GRP_U_Developpement_Internationnal,GRP_U_Commercial_DI
Ventes_Developpement_Commercial,Developpement_Internationnal,GRP_U_Developpement_Internationnal,GRP_U_Direction_Commercial_DI
Ventes_Developpement_Commercial,Grands_Comptes,GRP_U_Ventes_Developpement_Commercial,GRP_U_Grands_Comptes
Ventes_Developpement_Commercial,Grands_Comptes,GRP_U_Grands_Comptes,GRP_U_Commercial_GC
Ventes_Developpement_Commercial,Grands_Comptes,GRP_U_Grands_Comptes,GRP_U_Responsable_Grands_Comptes
Ventes_Developpement_Commercial,Service_Achat,GRP_U_Ventes_Developpement_Commercial,GRP_U_Service_Achat
Ventes_Developpement_Commercial,Service_Achat,GRP_U_Service_Achat,GRP_U_Acheteur
Ventes_Developpement_Commercial,Service_Achat,GRP_U_Service_Achat,GRP_U_Responsable_achat
Ventes_Developpement_Commercial,Service_Client,GRP_U_Ventes_Developpement_Commercial,GRP_U_Service_Client
Ventes_Developpement_Commercial,Service_Client,GRP_U_Service_Client,GRP_U_Agent_Client
Ventes_Developpement_Commercial,Service_Client,GRP_U_Service_Client,GRP_U_Responsable_Service_Client
